R1-CR-1-1;CRISTALINE;A
R1-GV-1-1;GROS VOLUMES1;B
R1-AA-1-1;AA 1;B
R1-GV-1-2;GROS VOLUMES2;B
R1-AA-1-2;AA 2;B
R1-GV-1-3;GROS VOLUMES3;B
R1-AA-1-3;AA 3;B
R1-AA-1-4;AA 4;B
R1-GV-1-4;GROS VOLUMES4;B
R1-GV-1-5;GROS VOLUMES5;B
R1-GV-1-6;GROS VOLUMES6;B
R1-GV-1-7;GROS VOLUMES7;B
R1-GV-1-8;GROS VOLUMES8;B
R1-MM-1-1;MM1;B
R1-MM-1-2;MM2;B
R1-MM-1-3;MM3;B
R1-NN-1-3;NN3;B
R1-NN-1-2;NN2;B
R1-NN-1-1;NN1;B
R1-CC-1-1;CC1;C
R1-BB-1-1;BB1;C
R1-CC-1-2;CC2;C
R1-BB-1-2;BB2;C
R1-CC-1-3;CC3;C
R1-BB-1-3;BB3;C
R1-CC-1-4;CC4;C
R1-BB-1-4;BB4;C
R1-DD-1-4;DD4;C
R1-EE-1-4;EE4;C
R1-DD-1-3;DD3;C
R1-EE-1-3;EE3;C
R1-DD-1-2;DD2;C
R1-EE-1-2;EE2;C
R1-DD-1-1;DD1;C
R1-EE-1-1;EE1;C
R1-GG-1-1;GG1;D
R1-FF-1-1;FF1;D
R1-GG-1-2;GG2;D
R1-FF-1-2;FF2;D
R1-GG-1-3;GG3;D
R1-FF-1-3;FF3;D
R1-GG-1-4;GG4;D
R1-FF-1-4;FF4;D
R1-HH-1-4;HH4;D
R1-II-1-3;II3;D
R1-HH-1-3;HH3;D
R1-II-1-2;II2;D
R1-HH-1-2;HH2;D
R1-II-1-1;II1;D
R1-HH-1-1;HH1;D
R1-KK-1-1;KK1;E
R1-KK-1-2;KK2;E
R1-KK-1-3;KK3;E
R1-KK-1-4;KK4;E
R1-LL-1-3;LL3;E
R1-LL-1-2;LL2;E
R1-LL-1-1;LL1;E
R1-JJ-1-3;JJ3;E
R1-OO-1-1;OO1;E
R1-OO-1-2;OO2;E
R1-OO-1-3;OO3;E
R1-PP-1-3;PP3;E
R1-PP-1-2;PP2;E
R1-PP-1-1;PP1;E
R1-JJ-1-2;JJ2;E
R1-JJ-1-1;JJ1;E
M1-EL-1-1;ALLEE TRANSVERSALE ELDPH;F
M2-AA-18-13;EAUX - 13;G
M2-AA-18-12;EAUX - 12;G
M2-AA-18-11;EAUX - 11;G
M2-AA-18-10;EAUX - 10;G
M2-AA-18-9;EAUX - 9;G
M2-AA-18-8;EAUX - 8;G
M2-AA-18-7;EAUX - 7;G
M2-AA-18-6;EAUX - 6;G
M2-AA-18-5;EAUX - 5;G
M2-AA-18-4;EAUX - 4;G
M2-AA-18-3;EAUX - 3;G
M2-AA-18-2;EAUX - 2;G
M2-AA-18-1;EAUX - 1;G
011010300000000000;EAUX;G
M2-AA-17-12;SIROP/JUS D'ORANGE12;G
M2-AA-17-11;SIROP/JUS D'ORANGE11;G
M2-AA-17-10;SIROP/JUS D'ORANGE10;G
M2-AA-17-9;SIROP/JUS D'ORANGE9;G
M2-AA-17-8;SIROP/JUS D'ORANGE8;G
M2-AA-17-7;SIROP/JUS D'ORANGE7;G
M2-AA-17-6;SIROP/JUS D'ORANGE6;G
